,Statement,Emotion
7656, You're kidding . We'll never make it across in one piece ! Let's cross at the light . ,surprise
7657, Mother Nature is quite an artist . ,joy
7658," Really , it's so beautiful . ",joy
7659,I think it means he freaked out and left!,surprise
7660, You're kidding ! ,surprise
7661, I just bought a new atlas . I ’ m looking this map of the world . Look at Russia ! That ’ s a vast country . ,joy
7662,Okay.,neutral
7663," No problem , man . ",joy
7664," That's great ! That was quick , after it not being there yesterday I wasn't expecting to hear from you for a while . ",joy
7665," oh , I'm sorry to bother you . ",sadness
7666,"You know, if they're    gonna shorten it, they should call it the MUSE!",neutral
7667,"All right, well I’m gonna put my sweats back on.",neutral
7668,"It's nice and bright today , isn't it ? ",joy
7669, It's the fourth one this year . Isn't it horrible . ,disgust
7670,How can I answer that when I’m pretending I don’t know you?,neutral
7671, I think so . Bye ! ,joy
7672," Yeah , I was really struggling whether I should give you this nice little car . It was the last one they had and I really like it so much myself . ",joy
7673,Hello.,neutral
7674,I'm worried sick that she will leave me tomorrow . ,sadness
7675,"Thank you for showing me your offices , Mr . Becker . I can see why Washington bureaucrats enjoy their jobs . ",joy
7676,"Oh dear , my weight has gone up again . ",surprise
7677,The band is pretty good . How do you like the music ? ,joy
7678," Alright . Thank you . Yes , it seems to be working fine . Your total is $ 199.00 , sign here , please . ",joy
7679, That's wonderful ! I like swimming . ,joy
7680, But you should have told me you were in love with her . ,anger
7681, Well I have to decide which gifts to keep and which to exchange for better ones when I go to the Boxing Day sales this afternoon ! ,anger
7682, I can't wait to play in the water . My feet are burning when I stand on the sand . ,joy
7683,Oh no! Why?,surprise
7684,I got new sheets!,joy
7685," Well , that's for all . Excellent ! ",joy
7686, I really like you . ,joy
7687,Noooo!  I'm lying. I am so drunk.,joy
7688, I had a skydiving accident over the weekend and won ’ t be able to come to school today . ,sadness
7689,I wonder where she is. That is so weird.,neutral
7690," Well , thanks for your advice . I will probably come back later . ",joy
7691, Milk ? I thought you didn't like milk . ,surprise
7692,Tony looks very handsome in the suit . ,joy
7693, So you are happy that you made the decision to join us . ,joy
7694, Thank you so much . I appreciate your help . ,joy
7695," Attractive scenery , pleasant climate , these make it charming . ",joy
7696,I’ll see you tomorrow.,neutral
7697, I feel kind of stupid . ,sadness
7698, Thank you very much . ,joy
7699,I just got a telegram from Margaret and Greg . ,joy
7700,"What rule? There's no rule, if anything, you owe me a table!",anger
7701, Thank you very much ! ,joy
7702," Whoa ! Oh , no ! ",surprise
7703,"Hello, tiny embryos.",neutral
7704,That kid really kicked me hard on the plane.,anger
7705," Yes , it looks interesting . ",joy
7706,Steady.,neutral
7707, Sounds like a good idea . ,joy
7708," No , that's it , thank you . ",joy
7709,Hey Pheebs!,joy
7710,"Which you're not, because you've totally hung up on him!",anger
7711," Not only that , but I'm going to buy you that video game after all ! ",joy
7712," Sorry , we ' re sold out right now.Please come back next week . ",sadness
7713," Oh , don't mention it . I'm proud of you ! ",joy
7714,"No, there is no way! It can",joy
7715," I like girls who like to have fun , and aren't too serious . ",joy
7716,"No, I mean tonight, in the building. Suddenly. Into our lives.",neutral
7717, Congratulations to you . ,joy
7718,I can't believe my parents are actually pressuring me to find one of you people.,surprise
7719, See you on Moday.Have a great weekend . ,joy
7720,"Alright here’s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",neutral
7721," Thank you , I know where that is . ",joy
7722,Who cares? Nobody reads those things,neutral
7723,Oh stop it. Joey already told me.,joy
7724,"Now, hold on!",anger
7725," Sorry to hear that , I was really looking forward to spending some more time with you , I really enjoyed our last chat . ",sadness
7726," Okay . But you have to admit that it was an exciting story , especially with that surprise ending . ",joy
7727, That would be my pleasure . I'll wrap the perfume up in the gift box for you too . ,joy
7728, Can I help in anyway ? ,joy
7729, Really ? ,disgust
7730,Who wants it? Anybody?,neutral
7731, Thank you for inviting me . Sounds lovely ! I would like to come . Where is your new apartment ? ,joy
7732, thanks a lot . ,joy
7733, That's it ! That's the one I was thinking of ! I told you I'd remember it ! ,surprise
7734, I will . Thank you . ,joy
7735,"Oh good, oh Joey and Chandler are back.",joy
7736,Hey Joey!,joy
7737, No wonder your English is so good . ,joy
7738,"OH , This is the famous Emperor Palace building . ",joy
7739,Why? Because she can sing and play guitar and do both at the same time?,neutral
7740, Sure . Here you go . ,joy
7741,Damn! I thought that was going to be romantic as hell!,surprise
7742,"I'd love it too. Shoot, I gotta go. So, I'll talk to you later.",neutral
7743, Ok . I'll call you later when I get a tee time . ,joy
7744," Yes , surely . ",joy
7745,"Why, exactly?",surprise
7746,Wow! I usually get to know a girl a little better before I let her spoon me.,surprise
7747, I'm sorry . But at least we know which bus to catch to get back where we started . ,sadness
7748," Thank you , Henry . I'll get a number 13 . ",joy
7749, Thank you . ,joy
7750," Come on , Josh , don't be such a chicken . If you like her , you've got to tell her . Maybe she likes you . ",joy
7751,Thanks.,sadness
7752, I think that's a bad idea . I'd hate anyone here to think of me as a friend . How would they ever respect me as they can do whatever they want ? ,disgust
7753,I just finished reading this article ' Getting Old Gracefully ' . It's a very good article . ,joy
7754,That would be great. Thank you.,neutral
7755,Bad things happen to me anyway.,neutral
7756, That would be very nice . Thank you . ,joy
7757," Please go ahead , I am listening . ",joy
7758," Okay , that's good . I get it . ",joy
7759," You certainly do like teasing me , Mary . Well I'm in love with someone . The question is , how do I get his attention ? ",joy
7760, That sounds fine . What time shall we meet at the bus stop ? ,joy
7761,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",joy
7762, How long have you been working there ? ,joy
7763, That sounds fine . ,joy
7764, And thank you very much for letting me keep it so long . ,anger
7765, That's good.Cotton is soft and flexible . ,joy
7766,Hey!,joy
7767,"Hi. God, it seems like just yesterday you guys used to come out to watch me work.",joy
7768, Do you prefer brandy or ports . ,joy
7769," Thank you , but I'm just browsing today . ",joy
7770," Yes , thank you . ",joy
7771,"All right Pheebs, stick out your plate!",neutral
7772,"It's your turn , sir . I'm sorry that you've had to wait . ",sadness
7773," oath ... that makes so much more sense ! Ha-ha . Well , great , I don't like German food anyway ! ",joy
7774,Oh.,joy
7775,Intense and creepy.,neutral
7776,Yeah.  What d'you wanna do tonight?,neutral
7777,A little birdie told me something about you wanting to rip your arm off and throw it at me.,anger
7778, I will . Thanks . That's sweet of you . ,joy
7779, Not in a million years ! ,sadness
7780,"The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!",surprise
7781, The pleasure is all mine . ,joy
7782,Chandler’s gonna ask Monica to marry him!,joy
7783, Can you tell me how to improve myself ? ,joy
7784, I think it's dangerous . What if I can't turn it off ? ,fear
7785,I'm so sorry! No I'm sorry! No I'm sorry! No I'm sorry!,sadness
7786,"Okay, so if an eight comes up, we take it as a sign and we do it!",joy
7787,"Okay, don’t worry. You’re ready.",neutral
7788, Sorry . I'm afraid we can't . But you may order something else instead . ,sadness
7789,"Honey, really, don't squeeze it so hard!",anger
7790," Www , I don ’ t know how you can eat your eggs like that ! Ever since I was small , I ’ Ve had eggs and soldiers . ",joy
7791, That ’ s my wish . ,joy
7792,Uh-huh!,joy
7793,Everything was delicious!,joy
7794, Thank you . ,joy
7795," I ’ m fine , thanks . How is Tony ? ",joy
7796," Yeah , that is the holiday is hot , isn't it ? ",joy
7797,You want some coffee?,neutral
7798,"I'm gonna go talk to uh, a friend.",sadness
7799,I can’t seem to say goodbye.,sadness
7800," He stays up untill all hours of the night , and he never lifts a finger to help . ",disgust
7801, Definitely . I really like Italian food . ,joy
7802,"Coffee sounds great.  Wait, so, so you live in Montreal?",neutral
7803, He is really great . He has sold millions of records worldwide . He is especially known for his rocking performance at the football World Cup song-the Cup of World . ,joy
7804," I heard one observer even said ' It was a song sung in Spanish for international football , and he made it so popular that even the Americans loved it . ' ",joy
7805," Hey , I've always gone hunting or fishing on vacation . I am sorry that bothers you . ",anger
7806, Really ? It's very nice of you . ,surprise
7807, You ’ re welcome . ,joy
7808,... Phoebe...?,surprise
7809,"No me, I am so sorry...",sadness
7810,I went home and told my wife about Tulsa and she won’t go.,neutral
7811, You do ? ,joy
7812,So if you just give me another chance to make a good impression,neutral
7813, Let me see ... I am sorry the tables you want are booked . ,sadness
7814,"Ok , let ’ s go through this one more time . I don ’ t want anymore ruined or dyed blouses ! ",anger
7815, You can ’ t be serious ! ,surprise
7816,You don't know anything.,anger
7817, Hey . Let's trade places one weekend ! ,joy
7818, What's your number ? ,joy
7819,It’s really sweet and-and tender.,joy
7820,That was you?!,surprise
7821, Don't mention it . I am pleased to help you . ,joy
7822," Great , so what happens now ? ",joy
7823,Well I hope you have fun tonight.,neutral
7824,This isn’t funny!,anger
7825,"No, no, Mr. Heckles no one is making any noise up here.",neutral
7826,Okay.,neutral
7827, There we go . Can you help me with the umbrella ? Perfect . ,joy
7828," Well , I don't know . ",joy
7829, Goodbye . Hope to see you again . ,joy
7830," It ’ s great . Although his father didn ’ t agree with that , Tom went through with it . ",surprise
7831," I couldn ’ t believe it , either . ",surprise
7832," He's after your own heart , it is important . ",joy
7833," Yes , everything . I feel overwhelmed by the daily work . Sometimes , I just can ’ t focus on what I am doing . What is worse , though I make plans for a whole week , I always have to make changes later on because other things come up . I can ’ t manage my time well . I can ’ t handle work well . I am afraid I was screw up more things . ",sadness
7834, I am just doing what I think I should do . ,joy
7835, I'll pick you up . ,joy
7836, You bet it ! ,joy
7837," The door bell doesn't work , the sink is leaking , there's no hot water , and the building is falling apart ! ",anger
7838,I’ve got five bucks says you can’t.,neutral
7839,"Oh Chandler, I know, I know... oh, hey! You can see your nipples through this shirt!",sadness
7840," I ’ m sorry , but you won ’ t be able to view it today . ",sadness
7841, University ? Why ? You asked me last year . ,surprise
7842,What’s a Movement class?,neutral
7843,"Oh, you said it Mike.  Aw! There's got to be a better way!",anger
7844,"Yeah, right!",joy
7845, That's fine . Then let's sign a contract . ,joy
7846, Twenty years ! That's a long time . ,surprise
7847,Apparently you’re not very good at it!,anger
7848, Great . Thanks . ,joy
7849,"Okay, does this look like a garbage can to you?",anger
7850,Oww! Big ring!,surprise
7851,"Ooh, remember the time I uh, I pinned you down and tickled you ‘til you cried?",joy
7852, Right ! ,joy
7853,Oh no! Where to?  Too Paris?,surprise
7854,Why have you been following me?,anger
7855," Listen , it is waltz . I like the elegant step of the old styles . ",joy
7856,I know.,neutral
7857, Thank you . It's very nice when problems can be solved quickly . ,joy
7858," Wow , that looks beautiful . ",joy
7859,"Happy birthday , Jim ! ",joy
7860," Why don ’ t you marry Rose , then ? ",anger
7861," I'd like to offer you my congratulations on your birthday and best wishes for your future happiness , good health and continued success . I've asked the Fairy Flowers to send you a bunch of flowers . I hope you'll like them . ",joy
7862, Gee ! There's only thirty minutes to go . ,surprise
7863," There are times of games planned , should have a grand time . ",joy
7864," I've never been better , thanks . ",joy
7865," Good for you , keep it up . ",joy
7866,"Okay, but if he asks, I'm not going to lie.",neutral
7867,You’re a genius!,joy
7868, Fantastic ! I didn't want to come back . ,joy
7869,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? ",joy
7870, I ’ m glad you ’ re enjoying it . ,joy
7871," Of course , I will . ",joy
7872," That ’ s why it was so weird traveling from Beijing to LA ! Because of the huge time difference , even though we left Beijing at noon and flew for more than eight hours , we still arrived in LA the same day at noon ! It ’ s like we went back in time ! ",anger
7873,"Ross, let me show you where the guest room is.",neutral
7874,"All right, I guess I can hold out a little longer. Let's have a game.",neutral
7875, Good idea . Do you want a wash or a massage ? Massage is especially good when you are tired . ,joy
7876,"It's no big deal, I mean it is her home phone number, but... Whoa!",surprise
7877, That will be great . ,joy
7878,"Question. You're not dating anybody, are you, because I met somebody who would be perfect for you.",neutral
7879, It's my pleasure . ,joy
7880,"I’m a doctor Cliff, not a mathematician.",neutral
7881," Wait , what are you doing ! You can ’ t just kiss me then go for second base ! ",surprise
7882,"Great! It’s so amazing! I mean, last time Dr. Roger came over, I was",joy
7883," Aha , Aha ... ",joy
7884," Pretty well , thanks . Still feeling the effects of jet lag a bit , but last night I got at lease six hours of rest . ",joy
7885,"Okay, I was thinking we should have a beautiful guest room, right?",neutral
7886, Good heavens ! Don't bring that frog in the house . ,anger
7887,No. This is just part of a dare devil game that I play called ‘wait until the last moment before I burst and die.’,anger
7888, No ! He hit me first . ,surprise
7889,"This is a very good meeting , Liz . ",joy
7890, Sure . Did you hear anything ? Look ! An eagle is hovering in the sky . ,joy
7891,What was that?!,surprise
7892, I hope you like it . ,joy
7893, I have to go to court ? ,surprise
7894," This title does not only give you a raising pay-check , but also increase responsibilities . Congratulations , and hope the best for you . ",joy
7895,"Hey, you wanna do Joey a favor, maybe you go out with Joey.",neutral
7896, Have you ever been to America ? ,joy
7897," Ok , thank you . ",joy
7898," The door bell doesn't work , there's no hot water , and the building is falling apart . ",disgust
7899," Great , let ’ s go ! ",joy
7900, Not bad . ,joy
7901,A lesson in the importance of unagi.,neutral
7902, He must be very easy-going . ,joy
7903,"You don’t want to be guys, you’d be all hairy and wouldn’t live as long.",disgust
7904,Chandler? Do you promise to be good?,neutral
7905," Oh , I must be going now ; it was nice talking with you . ",joy
7906,"Oh, now... tomorrow do you guys wanna share a cab to the airport or should Mike and I just meet you there.",neutral
7907, Get in . ,joy
7908, Obviously you did enjoy the concert . ,joy
7909,"She loves architecture, you know what you should do?",neutral
7910," Thanks , I feel the same way . ",joy
7911," Oh , really ? Give me a clam soup . ",surprise
7912,"Dad, we-we can’t believe you’re selling the house.",sadness
7913, Wow ! Call him tonight ! You guys will really have an interesting love story to tell everyone ! ,joy
7914," pretty well . I don't know if I'll get the promotion or not , but I feel good about it . ",joy
7915,Do you guys know any cute guys?,neutral
7916," Yes , you play the piano well . You could be a good pianist . That's good . ",joy
7917,I knew it!,surprise
7918,"It's me, Joey!",joy
7919,Which one? Was it bald or was it tall?,surprise
7920," Oh , really ? Would you transfer to another company if it is not what you expected ? ",surprise
7921,I’ve just been thinking about how my baby and I are gonna be all alone.,sadness
7922," Mary , don't move . Stand right there . It's a good shot . The background is very pretty . ",joy
7923,You don’t say!,surprise
7924," Yes , of course . ",joy
7925,Okay-okay!,anger
7926, That would be wonderful . ,joy
7927,Hey!,joy
7928," My pleasure . But I'm afraid I'm not much of a dancer , and I suppose you dance often . ",joy
7929,Okay.,neutral
7930,"Hey, it’s my list.",anger
7931, They arrested me for nothing . ,anger
7932, Yes . we can get what we need at the stands right by the lake . Who do you think will catch a big fish first ? ,joy
7933, Great ! Let ’ s do it ! ,joy
7934,What a nice tie you are wearing ! ,joy
7935, A nice quiet house is exactly what we're looking for . ,joy
7936, Sure . Let ’ s go . What are you going to have done ? ,joy
7937," Again , I do apologize for the inconvenience . ",sadness
7938," No , it can't be . Really ? Who ? ",surprise
7939, I think you'll love this pan . Do you want to pay with cash ? ,joy
7940, Good idea . I ’ d be very happy to go there . ,joy
7941,Uh-huh.,neutral
7942," If I hear Love Me Tender one more time , I think I'll go crazy ! ",anger
7943," That was before he heard Stanley sing ! I guess he couldn't stand it any more , so he decided to give it a try himself ! ",surprise
7944,Yes I did! And I put a little,anger
7945,"Morning , Peter . Nice suit ! A new one ? ",joy
7946, I am sorry . There is a speed limit . ,sadness
7947, Thank you for returning my call . ,joy
7948," Great ! B , most of the items listed are available this year . I hope we can come to an agreement and sign the contracts , so as to enable our timely delivery . ",joy
7949,"How we doing, you guys ready?",neutral
7950,"What, you didn’t get it? The doctor is a monkey.",neutral
7951, I appreciate that . ,joy
7952, My pleasure ! This tea towel ’ s a little ragged . Do you have another one ? ,joy
7953,How can I?,surprise
7954,"Okay, tell me your happy place.",neutral
7955, That's a great relief . I was worried about him . ,joy
7956,"The bottom line is, smoking is cool, and you know it.",neutral
7957, Thank you . ,joy
7958,"Since you have such a great sense of what I need, uh ooh, here’s-here’s 60 bucks, why don’t you take Phoebe down to that Colonial flea market of yours and get me some stuff.",neutral
7959,"Listen, I know this is your party, but I’d really like to the number of museum geeks that are gonna be there.",neutral
7960," Sure , I think that would be possible . Where is the fundraiser ? ",joy
7961,And that’s I’m so glad… there’s no problem.,joy
7962," I've made a tough decision , sir . Here's my resignation . ",sadness
7963,"Julie! Julie, isn't that great? I mean, isn't that just kick- you-in-the-crotch, spit-on-your-neck fantastic?",joy
7964,"Oh, honey, the earrings",neutral
7965,"All right, I’m gonna go steam my wedding dress okay? Who wants the responsibility of making sure nothing happens to it?",neutral
7966," Sounds good . Okay , that ’ s it . ",joy
7967, No ! ! ! ,anger
7968,You are an eager beaver . ,joy
7969," Skim , please . That'd be very nice . Thanks ... oh no . Janna , I'm so sorry , but I've got to go . ",sadness
7970,"Okay, you’re fine.",neutral
7971, I can ’ t wait to start cooking ! I ’ Ve bought the grill and charcoal . Do you have enough plates and utensils ? ,joy
7972, That is good to know . Just think ! We've been worrying about this for weeks and just a short visit here and my mind is at ease . Thank you . ,joy
7973,"Please, promise me that you’ll tell her that.",sadness
7974, Don't hurry . Wait for my call . ,joy
7975," Great . I hung out with Jo all day shopping , and the went out for dinner together . ",joy
7976, Thank you very much . I have been looking for it for a long time.Is this the latest edition ? ,joy
7977, I'd like to . I'm sure your visit will help to promote the friendship and understanding between both of us.Welcome to China again . ,joy
7978,Mom ! I hate eating vegetables ! ,anger
7979," Well , it sounds like you really enjoyed yourself . ",joy
7980,"They were huge. When she sneezed, bats flew out of them.",disgust
7981, That sounds like fun . ,joy
7982,"I tell ya, that has never happened before.",fear
7983, You're right . I love going out and making new friends . ,joy
7984," Of course , and I also like the rhythms . ",joy
7985," Yes , of course . This is a really wonderful party with interesting people and great food . ",joy
7986, There ’ s no rush . You can see him tomorrow . I ’ Ve told him about you . He promised to give you the job . ,joy
7987,Great job team!,joy
7988,"Ciao, bela.",neutral
7989, Yes . It is one of the most harmful computer viruses in the world . People say it will break out again om Valentines ' Day this year . ,disgust
7990," Oh , I think I know the place you mean . We ate there last month , right ? ",joy
7991, I knew this would happen some day ... ,sadness
7992,"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.",neutral
7993,Yeah! You can hook it up to your TV,joy
7994,"No thanks, I have a good one too. I just, I, I can’t see him.",fear
7995,Oh my God! Look at this!,surprise
7996, Great . Let's go . ,joy
7997, You have a perfect taste ! ,joy
7998, Anytime . You can reach me 5558929 . ,joy
7999,Hi. Do you know what time it is?,neutral
8000, I am so happy to know that I could make some contribution to our company . ,joy
8001," Oh , I see . Thank you very much . ",joy
8002,Hurry up.,sadness
8003,"Oh.  No! No wait, that’s weird!",disgust
8004, I see . Moblogging must have done a great favor for habitual bloggers like you . ,joy
8005,"Alright, and if you’re gonna put your feet up, why don’t you sit on the-",disgust
8006," That ’ s very nice of you to offer . Here ’ s your tea . Be careful , it ’ s still quite hot . ",joy
8007, I love my candidate . ,joy
8008,I forgot my purse.,neutral
8009, I ’ m not surprised . That article certainly added fuel to the debate . Ok . Thanks . Can you leave two articles and the advertisements with me ? I ’ d like to read them . ,joy
8010, Some guy in the accounting department has a brother on the team ! ,joy
8011," Very good , thanks . ",joy
8012,"Yeah, yeah that means... you know? We just... we don't have time    for this.",neutral
8013, Absolutely . I bought them from the King's estate myself ! Tell you what-I'll let you have five for one hundred bucks . ,joy
8014,"I mean, you know, we've never really talked.",neutral
8015,How bad is this?,fear
8016," Oh , really ? Which bulletin board ? ",surprise
8017,"Hey Monica, it's Joey!",joy
8018,Oh well you're the best. You come here to me.,joy
8019,Ah ! No ! Damn it ! ,anger
8020,"Umm, y'know how the other day you were talking about how you didn't get to go to London and how you were kinda feeling left out?",neutral
8021," Look ! This stock is rising now . I am researching it , and planning to buy some shares . ",joy
8022,Joey!  We should just switch.,neutral
8023,It’s Joey right?,neutral
8024,Goodnight,neutral
8025,Chandler Bing!,surprise
8026,Don’t I deserve a few tears?!!,sadness
8027, You really are lucky ! ,joy
8028," So funny . By stealing , I forgot all my sorrows and pressure from work . ",joy
8029,"Well, they’re just gonna have to wait aren’t they? I’ve only got two hands!!",anger
8030,"Ok, ok, one, two, three.",joy
8031," Then I'll shoot some pictures , re-size the images and upload them with text descriptions to my blog . ",joy
8032,I really enjoyed that film ! What about you ? ,joy
8033,"Hey-hey, who’s your friend?  Hey!!",joy
8034, Just look ! In six short weeks I've put on 30 pounds of pure muscle . ,anger
8035,Come on in . I am so glad you are here . We have been expecting you . ,joy
8036, My pleasure . ,joy
8037, I can imagine . ,joy
8038, You got it . Good job . ,joy
8039,We know you took so just-just save yourself the time and confess!,anger
8040," Yeah , me too . ",joy
8041," I'll pay cash , thank you . ",joy
8042, Where is it ? ,joy
8043, I have no idea . Let me take a closer look at my museum map ,joy
8044,"Ross, you gotta follow your heart.",neutral
8045,Olé!,joy
8046,Here?! Now?!,surprise
8047,I remember when we first got engaged.,joy
8048,Me too!,joy
8049, Fantastic ! Would you like a smoking or nonsmoking room ? ,joy
8050," Oh , thanks . Mmm , hmm , creamy texture , very smooth ... ",joy
8051," Wow , you're so lucky . I saw it on TV . But it must be so different to be there in the concert hall . ",joy
8052,I'm going to Japan this year on vacation . ,joy
8053," Goodbye , then . Thanks again for everything . ",joy
8054,"Maybe this would’ve happened if I’d been more nurturing, or I’d paid more attention, or I... had a uterus.",sadness
8055,I'll always remember my college days . ,joy
8056,"Joey, you can’t keep this to yourself, if you know about this, you have to tell him.",neutral
8057,Not you Joey.,neutral
8058,Really?!,surprise
8059,"Yes, I realize that",neutral
8060," Oh , lilies of the valley . No , I am sorry . We are all out of them right now . ",sadness
8061,"He's honest , hardworking and responsible . I simply can't find any shortcoming of his as an employee . ",joy
8062," Yes . My bike has one under the seat . Get it , quick ! ",fear
8063,I think I may be able to book,neutral
8064," Sure . I thought people only showed off pictures of their new babies , not new pets ! ",joy
8065,Nooo Way! The most romantic song ever is,neutral
8066,"Okay, okay. This can go on for a while.",neutral
8067,"Same as yesterday,  same as the day before.",neutral
8068,It’s the heat.  And-and the humidity.,neutral
8069,"I mean, there’s no way I can make myself taller now, y’know?",neutral
8070,I don’t know exactly. It’s-it’s sorta like wrestling.,neutral
8071,Oh.,neutral
8072," Yeah ! Where there is a will , there is a way . ",joy
8073, Goodbye . Thanks again for everything . ,joy
8074, All right . ,joy
8075,"Okay, well if I was in this for the money, I’d be a millionaire by now, y'know.",neutral
8076, Thank you very much . ,joy
8077," Oh , I always have difficulty in getting along with the staff . ",sadness
8078, exactly . ,joy
8079,"816, thank you!",joy
8080, OK . See you then . ,joy
8081,"What a lovely day , isn't it ? ",joy
8082, Yes . I like it very much . ,joy
8083,I can’t even use Chandler’s computer except to find porn!,anger
8084," Yeah , and we can get to know each other at the party . ",joy
8085, My first grandchild . ,joy
8086," Sorry , but I've gotta run . Enjoy your food , and ring the service button if you need anything else ! ",joy
8087,"I put a clip on one side, which seems to have stopped the curling.",neutral
8088," You are welcome , Jack . Glad to be of help . ",joy
8089, Without a doubt . Relevant department will try their best . ,joy
8090," All right , thank you very much . Good bye . ",joy
8091," Well , it would be a lot easier to finish if you stopped talking to me . ",disgust
8092,PBS Telethon.,neutral
8093,Please! I am not as bad as Ross.,disgust
8094,You took my watch?,surprise
8095, Let's line up . The steak is very inviting . I'll have it . ,joy
8096,No-no that’s a man’s shirt.,neutral
8097,But it really,neutral
8098," Yes . And suddenly I heard someone call my name . I turned around and there was this man looking at me . I didn't recognize him at all , but he obviously knew who I was . ",joy
8099, Wonderful ! ,joy
8100,Hi.,neutral
8101," A very nice curve ball by the pitcher . The catcher gives him the sign , he winds up and Vargas gets a line drive ! ",joy
8102,What sex?,surprise
8103,"Okay, I think I need to do some shopping.",neutral
8104, You'd better get on with your homework ! You can practice on Sunday . ,anger
8105, You are more beautiful than the roses . ,joy
8106, You're going to mop the floor until you can see your face in it ! ,anger
8107," It was one of the best times in my life . It was tough , but I made it . I became a college graduate . ",joy
8108, Just what gives you the right ... ? ,anger
8109,Thank you!,joy
8110,What?! What?! He was trying to cheer me up! My pony was sick.,surprise
8111," Thank you very much , Your Honor . ",joy
8112, Absolutely ! Bob and his whole family are welcome here any time ! ,joy
8113,"I mean it’s pretty unbelievable y'know, I mean they just took off, took off without even looking back.",anger
8114, Are you joking ? What am I going to do with you ? We are going to a dinner party not the beach ! Wear the shirt with the silk tie I bought you and these corduroy pants . It ’ s chilly outside so you can wear this coat . ,surprise
8115,Oh I’m sorry! Do you need a break?,surprise
8116,"Hey Rach! Hey, you mind if I read my comic books in here?",neutral
8117, I think you can say your seventh great grandfather ! Cutie ! What's his name ? ,joy
8118,"Hey, uh-hey, why don’t we get some shoes on ya, huh?",neutral
8119,Irony?,surprise
8120, I will . Bye . ,joy
8121, Really ? But it's my favorite . ,surprise
8122," Thanks , goodbye . ",joy
8123,"Oh, me too.",neutral
8124, Do you mean that you ’ re self-supporting ? I didn ’ t even know you had a job ! ,surprise
8125,You-you…you had sex with Ursula?!,surprise
8126," Yeah , and the funniest thing was , that he jumped on to his chair and started shrieking like a girl . You had to be there ! Everyone was staring and laughing ... it was hilarious ! ",joy
8127,How have you been ? ,joy
8128,Okay.  My word! Those are snug.,surprise
8129,"Umm, Gene.",neutral
8130,"""Well, it's right by my house, all right!""",anger
8131," Here it is , and here we are . ",joy
8132, Yeah . Let's just lounge around ! ,joy
8133,"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!",surprise
8134," Thanks , dear . ",joy
8135,"Oh, boy, do they suck.",anger
8136,Uh-huh.,neutral
8137," Oh , here it is . Patulin . Oh , no ! ",surprise
8138, Thank you . Can I meet my colleagues ? ,joy
8139,Left!  Thank you.,joy
8140, Thank you . ,joy
8141,"Y’know, people should be able to sleep with who ever they want, whenever",neutral
8142, I think that's an excellent reason to like something . ,joy
8143," This is ridiculous ! In Taiwan , it is much easier to get medicine when I need it . ",anger
8144, Yeah.It is the very latest in digital video cameras . ,joy
8145,Am I interrupting?,neutral
8146," This title does not only give you a raising pay-check , but also increase responsibilities . Congratulations , and hope the best for you . ",joy
8147,Okay that’s fair.,neutral
8148,Here!,anger
8149," Thanks . Come back here next Wednesday to pick up your order , please . ",joy
8150,It was really fun being married to you tonight.,joy
8151,"I'm so sorry about your brother , Mr . Wang . ",sadness
8152,Yay!,joy
8153,Hi! I’m Dr. Drake Remoray and I have a few routine questions I need to ask you.,neutral
8154,I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,sadness
8155,"Hi, I was wondering if it is possible to increase security in the Paleontology section?",anger
8156,I’ll be here.,sadness
8157,Just wait.,neutral
8158,"I’m telling ya, you’re gonna be dancing at my wedding before you’re dancing at there’s.",joy
8159,Hi.,neutral
8160,It's Phoebe.,neutral
8161," No problem ! We have a broad selection of suits , all tailored made so that it will fit perfectly . ",joy
8162, No ! I am on my way to the reserve room . Thanks again ! ,joy
8163, I love all the fashionable things . But my favorite brand is Chanel . ,joy
8164,You wanna fool around with Joey?,surprise
8165,"Oh yeah. If you ah, move your hamper, you see what color the tile used to be.  Yeah.",disgust
8166,What ’ s the problem ? Things are getting out of hand . You keep sticking your nose where it doesn ’ t belong . ,anger
8167, It ’ s a great car . It ’ s very comfortable and it goes really fast . ,joy
8168," Yes , I have them with me . Do you want to look at them ? ",joy
8169,Absolutely! But you-you would really feel better about me rejecting you if your actor friend can audition for my movie?,surprise
8170,"All right, let's do it!",joy
8171,Maybe she can give me a pill or something.,neutral
8172,"Y'know, breadstick fangs are always funny.",joy
8173, That's great ! You need to prepare for it . ,joy
8174,"Thank you , 175 yuan . ",joy
8175,"What are you still doing here? She just broke up with the guy, it's time for you to swoop in!",surprise
8176,(noticing a kid who has picked up a copy of,neutral
8177, I think so . Blue is still very fashionable at the moment . ,joy
8178, ( When they are dancing ) You dance gracefully ! ,joy
8179,That’s no problem.,neutral
8180, OK . I'll take it . ,joy
